984553 function calls (853132 primitive calls) in 0.388 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1653/188    0.061    0.000    0.206    0.001 assumptions.py:509(_ask)
    35255    0.026    0.000    0.054    0.000 random.py:354(shuffle)
    39232    0.016    0.000    0.025    0.000 random.py:245(_randbelow_with_getrandbits)
    97211    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
10883/1225    0.012    0.000    0.026    0.000 basic.py:677(free_symbols)
    10657    0.010    0.000    0.020    0.000 sympify.py:124(sympify)
  1168/18    0.010    0.000    0.356    0.020 function.py:1260(_new_)
79909/78220    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
33809/9196    0.009    0.000    0.010    0.000 traversal.py:250(postorder_traversal)
    36954    0.008    0.000    0.008    0.000 {method 'update' of 'set' objects}
45126/1426    0.008    0.000    0.207    0.000 assumptions.py:497(getit)
  413/385    0.008    0.000    0.148    0.000 mul.py:205(flatten)
 9190/554    0.007    0.000    0.357    0.001 cache.py:69(wrapper)
      836    0.007    0.000    0.036    0.000 basic.py:2156(is_same)
    60978    0.007    0.000    0.007    0.000 basic.py:906(args)
13194/12697    0.006    0.000    0.015    0.000 basic.py:497(_eq_)
    37316    0.005    0.000    0.005    0.000 {method 'extend' of 'list' objects}
    22366    0.005    0.000    0.022    0.000 {built-in method builtins.getattr}
24656/3100    0.005    0.000    0.024    0.000 basic.py:725(<genexpr>)
  651/605    0.005    0.000    0.163    0.000 operations.py:62(_new_)
    62266    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
     6680    0.004    0.000    0.006    0.000 basic.py:478(_do_eq_sympify)
45205/44834    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    39232    0.004    0.000    0.004    0.000 {method 'bit_length' of 'int' objects}
      822    0.004    0.000    0.009    0.000 mul.py:483(_gather)
 4380/213    0.003    0.000    0.019    0.000 basic.py:1766(walk)
   831/15    0.003    0.000    0.353    0.024 function.py:1930(_derivative_dispatch)
16558/14726    0.003    0.000    0.004    0.000 basic.py:315(_hash_)
      525    0.003    0.000    0.018    0.000 radsimp.py:1050(fraction)
5844/4362    0.003    0.000    0.059    0.000 logic.py:43(_fuzzy_group)
     1533    0.002    0.000    0.006    0.000 mul.py:1601(_eval_pos_neg)
     1394    0.002    0.000    0.008    0.000 containers.py:54(_new_)
  1590/30    0.002    0.000    0.016    0.001 basic.py:1364(_xreplace)
     1300    0.002    0.000    0.008    0.000 function.py:1694(free_symbols)
     5469    0.002    0.000    0.017    0.000 sympify.py:514(_sympify)
     1374    0.002    0.000    0.003    0.000 function.py:506(class_key)
    10885    0.002    0.000    0.002    0.000 {method 'union' of 'set' objects}
     1217    0.002    0.000    0.006    0.000 mul.py:1411(_eval_is_integer)
     3066    0.002    0.000    0.012    0.000 numbers.py:1945(_eq_)
2673/2618    0.002    0.000    0.127    0.000 {built-in method builtins.any}
     2668    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     6138    0.002    0.000    0.003    0.000 symbol.py:446(free_symbols)
2698/1384    0.002    0.000    0.003    0.000 expr.py:432(is_number)
    13156    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
